manifestation_id,canonical_text_path,canonical_facsimile_path,canonical_structured_path,text_format,text_extraction_method,text_quality_score,heading_quality_score,footnote_quality_score,table_quality_score,equation_quality_score,page_anchor_quality,checksum,last_verified_at
M009,structured/thuenen_w001_e001_m009_1826_der-isolirte-staat_part1_dta-txt.txt,,structured/thuenen_w001_e001_m009_1826_der-isolirte-staat_part1_dta-tei.xml,tei-xml,dta_structured,0.95,0.95,0.90,,,0.95,472f46392bf289b5c9f363b62ed9b681a891ec26b3e2a08a636287795c37bfa2,2026-03-13
M007,ocr/thuenen_w001_e007_m007_1910_der-isolirte-staat_waentig_ia-djvu.txt,facsimiles/thuenen_w001_e007_m007_1910_der-isolirte-staat_waentig_ia-pdf.pdf,,plain_text,ia_abbyy_ocr,0.85,0.70,0.60,,,0.50,4e9c3b86875dbf81f05998457acd0f945c38bb568e68ad12c10890e629191107,2026-03-13
M014,ocr/thuenen_w001_e006_m014_1875_der-isolirte-staat_3rd-ed-vol1_ia-djvu.txt,facsimiles/thuenen_w001_e006_m014_1875_der-isolirte-staat_3rd-ed-vol1_ia-pdf.pdf,,plain_text,ia_abbyy_ocr,0.10,0.05,0.05,,,0.00,f4dc3dbe7d10391c83b97473e82c80abb34ac2d5b9d42b4337b9effad4bd409b,2026-03-13
M015,extracted/thuenen_w001_e006_m015_1875_3rd-ed-vol3_docling.md,facsimiles/thuenen_w001_e006_m015_1875_der-isolirte-staat_3rd-ed-vol3_ia-pdf.pdf,,markdown,docling_ocr,0.55,0.40,0.30,0.30,,0.30,bbb20a0f78c056eecadf41236f0f4ae9744faaf9f0bccfaa38c7b22b28f6a961,2026-03-13
M023,extracted/neue-annalen_band17_M023_pp282-322_tesseract-fraktur.txt,facsimiles/neue-annalen_band17_M023_pp282-322.pdf,,plain_text,tesseract_fraktur,0.65,0.40,0.30,,,0.60,10bea1996ddcc71c67f8d7ba39c4af34ba1ff7c9eb12615a419823ff35178fe6,2026-03-13
M025,extracted/neue-annalen_band18_M025_pp001-004_tesseract-fraktur.txt,facsimiles/neue-annalen_band18_M025_pp001-004.pdf,,plain_text,tesseract_fraktur,0.65,0.40,0.30,,,0.60,47af48f46a7e1353c121c9db0841515e5241623df5e1d795dd3b869eeec0bfb8,2026-03-13
M002,extracted/thuenen_w001_e002_m002_1842_2nd-ed_gbooks_embedded-text.txt,facsimiles/thuenen_w001_e002_m002_1842_der-isolirte-staat_2nd-ed_gbooks.pdf,,plain_text,gbooks_embedded_ocr,0.75,0.50,0.40,,,0.60,f93b8e0a06c4367c9267b8b16dabd4d59db07e716b543810986d584523a25089,2026-03-13
M003,extracted/thuenen_w002_e003_m003_1850_part2-1_bsb_tesseract-fraktur.txt,facsimiles/thuenen_w002_e003_m003_1850_der-isolirte-staat_part2-1_bsb.pdf,,plain_text,tesseract_fraktur,0.70,0.50,0.40,,,0.70,a2f3c2ef591debd78d627bd79c79ea8567461bed7b24f07542d4321f0e2b3390,2026-03-13
M004,extracted/thuenen_w003_e004_m004_1863_part2-2_bsb_tesseract-fraktur.txt,facsimiles/thuenen_w003_e004_m004_1863_der-isolirte-staat_part2-2_bsb.pdf,,plain_text,tesseract_fraktur,0.70,0.50,0.40,,,0.70,a9ea92bb04f2b699a3179ce09fff3517db972bef19a373a60eea8c6a2b467529,2026-03-13
M005,extracted/thuenen_w004_e005_m005_1863_part3_bsb_tesseract-fraktur.txt,facsimiles/thuenen_w004_e005_m005_1863_der-isolirte-staat_part3_bsb.pdf,,plain_text,tesseract_fraktur,0.70,0.50,0.40,0.30,,0.70,e77aacf3f6ad8f20b9b72bd646705f0795728d1d8c4e0a5324250b89069c0140,2026-03-13
M044,extracted/thuenen_w001_e009_m044_1851_laverriere_gallica_tesseract-fra.txt,facsimiles/thuenen_w001_e009_m044_1851_recherches_laverriere_gallica.pdf,,plain_text,tesseract_fra,0.70,0.50,0.40,,,0.65,4d7008006efd2f4328af69af996b3cba0dd1c62e6edb743061c6903d4ec22e4d,2026-03-13
M016,extracted/neue-annalen_band01_M016_pp477-478_tesseract-fraktur.txt,facsimiles/neue-annalen_band01_M016_pp477-478.pdf,,plain_text,tesseract_fraktur,0.65,0.40,0.30,,,0.60,880413d0612bd3cfd6db3a9000763cd4fd618f94dae37f2b8684e75547f67c80,2026-03-13
M010,extracted/neue-annalen_band04_M010_pp401-544_tesseract-fraktur.txt,facsimiles/neue-annalen_band04_M010_pp401-544.pdf,,plain_text,tesseract_fraktur,0.65,0.40,0.30,,,0.60,8c5eb73ad9ec2fc888461ddeb2d8454bbde41f9c284db0b7a4b528b304de3209,2026-03-13
M018,extracted/neue-annalen_band06_M018_pp119-127_tesseract-fraktur.txt,facsimiles/neue-annalen_band06_M018_pp119-127.pdf,,plain_text,tesseract_fraktur,0.65,0.40,0.30,,,0.60,b7d2cdef1aab45c577899c6e50d7ec4be52e43d7e1e5d0ecaf9af65817caf6fc,2026-03-13
M019,extracted/neue-annalen_band06_M019_pp715-720_tesseract-fraktur.txt,facsimiles/neue-annalen_band06_M019_pp715-720.pdf,,plain_text,tesseract_fraktur,0.65,0.40,0.30,,,0.60,392085ff04f1faeccf2d6c12c57bf70e58bbe42662443062676bf04bb9cd4232,2026-03-13
M011,extracted/neue-annalen_band08_M011_pp166-221_tesseract-fraktur.txt,facsimiles/neue-annalen_band08_M011_pp166-221.pdf,,plain_text,tesseract_fraktur,0.65,0.40,0.30,,,0.60,a55e923a3f13b3bfdfde09b6a1f302ce023ca4748eaae31963760a88773b2cba,2026-03-13
M020,extracted/neue-annalen_band10_M020_pp368-379_tesseract-fraktur.txt,facsimiles/neue-annalen_band10_M020_pp368-379.pdf,,plain_text,tesseract_fraktur,0.65,0.40,0.30,,,0.60,4d8f403b765a6b89e277420bfec3d06e3eb692942459f88f84fd8f69113410aa,2026-03-13
M021,extracted/neue-annalen_band16_M021_pp460-465_tesseract-fraktur.txt,facsimiles/neue-annalen_band16_M021_pp460-465.pdf,,plain_text,tesseract_fraktur,0.65,0.40,0.30,,,0.60,5c058e52325d2299872657768167da722c4dd3e8483b967623bba3b300513429,2026-03-13
M022,extracted/neue-annalen_band16_M022_pp638-672_tesseract-fraktur.txt,facsimiles/neue-annalen_band16_M022_pp638-672.pdf,,plain_text,tesseract_fraktur,0.65,0.40,0.30,,,0.60,b5c396f305f939a5c5c6259ae90ec36a0674d3133fcd797ac645416b1360c84c,2026-03-13
M024,extracted/neue-annalen_band17_M024_pp401-430_tesseract-fraktur.txt,facsimiles/neue-annalen_band17_M024_pp401-430.pdf,,plain_text,tesseract_fraktur,0.65,0.40,0.30,,,0.60,5fd593bbccf47a276539f934d86fe1563da5caf87761433b8ad880d1bea83877,2026-03-13
M027,extracted/neue-annalen_band18_M027_pp274-282_tesseract-fraktur.txt,facsimiles/neue-annalen_band18_M027_pp274-282.pdf,,plain_text,tesseract_fraktur,0.65,0.40,0.30,,,0.60,01e0cfe037b92ec4d39f5968ece480cdade9b5cd11669b90d5ca809684de9299,2026-03-13
M029,extracted/neue-annalen_band19_M029_pp527-532_tesseract-fraktur.txt,facsimiles/neue-annalen_band19_M029_pp527-532.pdf,,plain_text,tesseract_fraktur,0.65,0.40,0.30,,,0.60,bb57df349540505561e45c1e73b8884954088b5c4640d8023c3ebffc00182e94,2026-03-13
M030,extracted/neue-annalen_band19_M030_pp533-537_tesseract-fraktur.txt,facsimiles/neue-annalen_band19_M030_pp533-537.pdf,,plain_text,tesseract_fraktur,0.65,0.40,0.30,,,0.60,fa9ada1b744431cdf7ce96b4ab4f62115880151a199383d3b76b6b8f9c154486,2026-03-13
M031,extracted/neue-annalen_band19_M031_pp739-756_tesseract-fraktur.txt,facsimiles/neue-annalen_band19_M031_pp739-756.pdf,,plain_text,tesseract_fraktur,0.65,0.40,0.30,,,0.60,c5f332bc0a83033ee6277b447af8a93adef365caf2f39df7230cac834124ae24,2026-03-13
M032,extracted/neue-annalen_band21_M032_pp563-571_tesseract-fraktur.txt,facsimiles/neue-annalen_band21_M032_pp563-571.pdf,,plain_text,tesseract_fraktur,0.65,0.40,0.30,,,0.60,fbb31ee7e9ce210a81241206d4c69f7a1f5e3934efa1df065b48356fbe2bf935,2026-03-13
M033,extracted/neue-annalen_band21_M033_pp587-640_tesseract-fraktur.txt,facsimiles/neue-annalen_band21_M033_pp587-640.pdf,,plain_text,tesseract_fraktur,0.65,0.40,0.30,,,0.60,9a8edd0d7daffedd8cda617767a9ed8afedd593923c4299cd03a01c88e90365b,2026-03-13
M034,extracted/neue-annalen_band23_M034_pp687-698_tesseract-fraktur.txt,facsimiles/neue-annalen_band23_M034_pp687-698.pdf,,plain_text,tesseract_fraktur,0.65,0.40,0.30,,,0.60,5bd4a1c3d1e256c90ce8c06aa5d4044f4dded2a54824e28a7b0f308f57038999,2026-03-13
M035,extracted/neue-annalen_band24_M035_pp265-287_tesseract-fraktur.txt,facsimiles/neue-annalen_band24_M035_pp265-287.pdf,,plain_text,tesseract_fraktur,0.65,0.40,0.30,,,0.60,b2603960235dd0b87572a92944f544b23b20bbd6c01f842f2a666489438d3d0d,2026-03-13
M036,extracted/neue-annalen_band25_M036a_pp202-212_tesseract-fraktur.txt,facsimiles/neue-annalen_band25_M036a_pp202-212.pdf,,plain_text,tesseract_fraktur,0.65,0.40,0.30,,,0.60,5308ce2de8e484071fbd0e9f989aa4be6a2f9568d1024d2cb65d0450f202af03,2026-03-13
M037,extracted/neue-annalen_band28_M037_pp113-145_tesseract-fraktur.txt,facsimiles/neue-annalen_band28_M037_pp113-145.pdf,,plain_text,tesseract_fraktur,0.65,0.40,0.30,,,0.60,ecb29222bb10537c9e69c98fa05f3e36b1035bbbe7e136a9118fc1cd6e9b2351,2026-03-13
M038,extracted/neue-annalen_band28_M038_pp160-161_tesseract-fraktur.txt,facsimiles/neue-annalen_band28_M038_pp160-161.pdf,,plain_text,tesseract_fraktur,0.65,0.40,0.30,,,0.60,98d434b9f1f6f46f864203ed4810892555c3130cee0726c09c8133643ba438e7,2026-03-13
M012,extracted/neue-annalen_band17_M012_pp001-010_tesseract-fraktur.txt,facsimiles/neue-annalen_band17_M012_pp001-010.pdf,,plain_text,tesseract_fraktur,0.65,0.40,0.30,,,0.60,e0973eb550f02f5ec699c35fed5cc16329fc5323f0b7dc7b6cb921c05a522c6f,2026-03-13
M026,extracted/neue-annalen_band18_M026_pp123-141_tesseract-fraktur.txt,facsimiles/neue-annalen_band18_M026_pp123-141.pdf,,plain_text,tesseract_fraktur,0.65,0.40,0.30,,,0.60,495c1d094fbbf71817ff0b2b5ab5633c7dd08167607049057bae17a487d171a1,2026-03-13
M013,extracted/neue-annalen_band19_M013_pp108-134_tesseract-fraktur.txt,facsimiles/neue-annalen_band19_M013_pp108-134.pdf,,plain_text,tesseract_fraktur,0.65,0.40,0.30,,,0.60,abbcaca3b3c8c164ed31c2904580864179c9f99cf1b1ff3055faeadd406e7a39,2026-03-13
M028,extracted/neue-annalen_band19_M028_pp030-060_tesseract-fraktur.txt,facsimiles/neue-annalen_band19_M028_pp030-060.pdf,,plain_text,tesseract_fraktur,0.65,0.40,0.30,,,0.60,a7a853ff30f1bdc35c33647873a3ccc88c5ad5e1b3cb9fe739692772879beb81,2026-03-13
M040,extracted/doberan_1841_M040_pp066-071_tesseract-fraktur.txt,facsimiles/doberan_1841_M040_pp066-071_bsb.pdf,,plain_text,tesseract_fraktur,0.65,0.40,0.30,,,0.60,6840c0e4f15a1b0bb9acfbe9a37b60e7e71af624ee763d7c5640e933b9e7f58a,2026-03-13
M041,extracted/doberan_1841_M041_pp213-216_tesseract-fraktur.txt,facsimiles/doberan_1841_M041_pp213-216_bsb.pdf,,plain_text,tesseract_fraktur,0.65,0.40,0.30,,,0.60,6f294854980f08659508e67ee218040f755dc83695b9f9584b8af1ac4a2b8354,2026-03-13
