work_id,work_group_id,person_id,canonical_title,canonical_title_normalized,work_type,original_language,authorship_status,editorial_intervention_status,composition_date_raw,composition_date_normalized,first_publication_date_raw,first_publication_date_normalized,is_posthumous,parent_work_id,work_status,best_expression_id,metadata_confidence,notes
W001,WG001,P001,"Der isolirte Staat in Beziehung auf Landwirthschaft und Nationalökonomie. Erster Theil","Der isolirte Staat Part 1",book_part,de,confirmed,none,"before 1826",,"1826","1826",false,,seeded,,high,"Part 1: Untersuchungen ueber den Einfluss den die Getreidepreise der Reichthum des Bodens und die Abgaben auf den Ackerbau ausueben. First ed Hamburg 1826; 2nd ed Rostock 1842."
W002,WG001,P001,"Der isolirte Staat. Zweiter Theil, Erste Abtheilung: Der naturgemäße Arbeitslohn und dessen Verhältniß zum Zinsfuß und zur Landrente","Der isolirte Staat Part 2 Section 1",book_part,de,confirmed,none,"before 1850",,"1850","1850",false,,seeded,,high,"Part 2 Section 1. Published Rostock 1850 during Thuenen's lifetime."
W003,WG001,P001,"Der isolirte Staat. Zweiter Theil, Zweite Abtheilung","Der isolirte Staat Part 2 Section 2",book_part,de,confirmed,posthumous_compilation,,"","1863","1863",true,,seeded,,high,"Part 2 Section 2. Published posthumously 1863. Editor to be verified."
W004,WG001,P001,"Der isolirte Staat. Dritter Theil: Grundsätze zur Bestimmung der Bodenrente, der vortheilhaftesten Umtriebszeit und des Werthes der Holzbestände von verschiedenem Alter für Kieferwaldungen","Der isolirte Staat Part 3",book_part,de,confirmed,posthumous_compilation,,"","1863","1863",true,,seeded,,high,"Part 3. Published posthumously 1863."
W005,,P001,"Beschreibung der Landwirthschaft in dem Dorfe Großen-Flottbeck","Beschreibung der Landwirthschaft in dem Dorfe Grossen-Flottbeck",essay,de,confirmed,none,"before 1803",,"1803","1803",false,,seeded,,medium,"Early agricultural description. Exact publication venue to be verified."
W006,WG002,P001,"Ueber die Einführung eines Kreditsystems in Mecklenburg","Ueber die Einfuehrung eines Kreditsystems in Mecklenburg",periodical_article,de,confirmed,none,"before 1817",,"1817","1817",false,,seeded,,high,"Published in Neue Annalen Vol. 1/2 Haelfte (1817) pp. 401-545. Corrected from Forscherleben bibliography."
W007,WG002,P001,"Ueber die quantitative Wirkung des Dungs","Ueber die quantitative Wirkung des Dungs",periodical_article,de,confirmed,none,"before 1821",,"1821","1821",false,,seeded,,high,"Published in Neue Annalen der Mecklenburgischen Landwirthschafts-Gesellschaft Vol. 8 (1821) pp. 166-221."
W008,WG002,P001,"Vorschlag zur Errichtung einer Deposital-Zettelbank in Mecklenburg","Vorschlag zur Errichtung einer Deposital-Zettelbank in Mecklenburg",periodical_article,de,confirmed,none,"before 1831",,"1831","1831",false,,seeded,,high,"Published in Neue Annalen der Mecklenburgischen Landwirthschafts-Gesellschaft Vol. 17 (1831) pp. 1-10."
W009,WG002,P001,"Einige Fragen, die Statik des Landbaus betreffend","Einige Fragen die Statik des Landbaus betreffend",periodical_article,de,confirmed,none,"before 1834",,"1834","1834",false,,seeded,,high,"Published in Neue Annalen der Mecklenburgischen Landwirthschafts-Gesellschaft Vol. 19 (1834) pp. 108-134."
W010,WG001,P001,"Bestimmungsgründe für Arbeitslohn und Unternehmergewinn","Bestimmungsgruende fuer Arbeitslohn und Unternehmergewinn",book_fragment,de,confirmed,none,"before 1848",,"1848","1848",false,,seeded,,medium,"Fragment from the then-unpublished Part 2 of Der isolirte Staat, published separately 1848. Exact venue to verify."
W011,WG002,P001,"Bericht über einige mit dem englischen Extirpator angestellte Versuche","Bericht ueber Extirpator-Versuche",periodical_article,de,confirmed,none,"before 1814",,"1814","1814",false,,seeded,,high,"Neue Annalen Vol. 1/2 Haelfte (1814) p. 477-478. Source: Forscherleben bibliography."
W012,,P001,"Berechnung der Arbeit und der Kosten des Mergelns auf dem Gute Tellow 1815-1816","Berechnung der Arbeit und Kosten des Mergelns",periodical_article,de,confirmed,none,"before 1818",,"1818","1818",false,,seeded,,high,"Landwirtschaftliche Erzaehler (Gross Flottbeck) 1818 S. 6-8. Corrected from 'landwirthschaftliche Calender' per Thuenengesellschaft bibliography (thuenen.info). Source: Forscherleben bibliography."
W013,WG002,P001,"Welchen Einfluss haben die Nahrungsmittel welche die Schafe erhalten auf die Güte der Wolle","Einfluss der Nahrungsmittel auf die Wolle",periodical_article,de,confirmed,none,"before 1819",,"1819","1819",false,,seeded,,high,"Neue Annalen Vol. 6/1 (1819) p. 119-127. Source: Forscherleben bibliography."
W014,WG002,P001,"Ansichten über die Wirkung der englischen Korn-Acte auf Mecklenburg","Ansichten ueber englische Korn-Acte",periodical_article,de,confirmed,none,"before 1819",,"1819","1819",false,,seeded,,high,"Neue Annalen Vol. 6/2 (1819) p. 715-720. Source: Forscherleben bibliography."
W015,WG002,P001,"Ueber einen erweiterten Anbau der Handelsgewächse in Mecklenburg","Ueber erweiterten Anbau der Handelsgewaechse",periodical_article,de,confirmed,none,"before 1823",,"1823","1823",false,,seeded,,high,"Neue Annalen Vol. 10/1 (1823) p. 368-379. Source: Forscherleben bibliography."
W016,WG002,P001,"Ueber die Bildung des Mergels","Ueber die Bildung des Mergels",periodical_article,de,confirmed,none,"before 1829",,"1829","1829",false,,seeded,,high,"Neue Annalen Vol. 16/2 (1829) p. 460-465. Source: Forscherleben bibliography."
W017,WG002,P001,"Berechnung der Unterhaltungskosten eines Gespanns Pferde und der Transportkosten des Korns","Berechnung Unterhaltungskosten Gespann Pferde",periodical_article,de,confirmed,none,"before 1829",,"1829","1829",false,,seeded,,high,"Neue Annalen Vol. 16/2 (1829) p. 638-672. Source: Forscherleben bibliography."
W018,WG002,P001,"Ansichten über die Errichtung eines landwirthschaftlichen Instituts in Mecklenburg","Ansichten landwirthschaftliches Institut Mecklenburg",periodical_article,de,confirmed,none,"1830",,"1831","1831",false,,seeded,,high,"Neue Annalen Vol. 17/1 (1831) p. 282-322. Dated December 1830. Source: Forscherleben bibliography."
W019,WG002,P001,"Erachten über die Verbesserung des Ackerbaues der Städte","Erachten Verbesserung Ackerbau Staedte",periodical_article,de,confirmed,none,"before 1831",,"1831","1831",false,,seeded,,high,"Neue Annalen Vol. 17/2 (1831) p. 401. Source: Forscherleben bibliography."
W020,WG002,P001,"Reduction der Grade des Grassmann'schen Alkoholmeters auf die des Richter'schen","Reduction der Grade Alkoholmeter",periodical_article,de,attributed,none,"before 1832",,"1832","1832",false,,seeded,,medium,"Neue Annalen Vol. 18/1 (1832) p. 1-4. Name not given per Forscherleben."
W021,WG002,P001,"Zum Andenken an den verstorbenen Finanzrath Vogge","Zum Andenken Finanzrath Vogge",periodical_article,de,attributed,none,"before 1832",,"1832","1832",false,,seeded,,medium,"Neue Annalen Vol. 18/1 (1832) p. 123-141. Name not given; attributed by style per Forscherleben."
W022,WG002,P001,"Bemerkungen zu der Abhandlung über die Wirkung des gebrannten Mergels","Bemerkungen gebrannter Mergel",periodical_article,de,confirmed,none,"before 1832",,"1832","1832",false,,seeded,,high,"Neue Annalen Vol. 18/2 (1832) p. 274-282. Source: Forscherleben bibliography."
W023,WG002,P001,"Fragen in Bezug auf Schafzucht","Fragen Schafzucht",periodical_article,de,confirmed,none,"1833",,"1834","1834",false,,seeded,,high,"Neue Annalen Vol. 19/1 (1834) p. 30-60. Presented Oct 1833 Teterow. Source: Forscherleben bibliography."
W024,WG002,P001,"Poa annua, jähriges Rispengras","Poa annua",periodical_article,de,confirmed,none,"before 1834",,"1834","1834",false,,seeded,,high,"Neue Annalen Vol. 19/2 (1834) p. 527-532. Source: Forscherleben bibliography."
W025,WG002,P001,"Wollmarkt und Wollniederlage","Wollmarkt und Wollniederlage",periodical_article,de,confirmed,none,"before 1834",,"1834","1834",false,,seeded,,high,"Neue Annalen Vol. 19/2 (1834) p. 533-537. Source: Forscherleben bibliography."
W026,WG002,P001,"Welche Stadt, Rostock oder Güstrow, eignet sich am besten zu einem Central-Wollmarkte","Welche Stadt fuer Central-Wollmarkt",periodical_article,de,confirmed,none,"before 1834",,"1834","1834",false,,seeded,,high,"Neue Annalen Vol. 19/2 (1834) p. 739-756. Source: Forscherleben bibliography."
W027,WG002,P001,"Ueber den Gebrauch des Latens und des Pflügens","Ueber Gebrauch des Latens",periodical_article,de,confirmed,none,"before 1837",,"1837","1837",false,,seeded,,high,"Neue Annalen Vol. 21/2 (1837) p. 563-571. Source: Forscherleben bibliography."
W028,WG002,P001,"Bemerkungen über den mecklenburgischen Häfen","Bemerkungen mecklenburgische Haefen",periodical_article,de,confirmed,none,"before 1837",,"1837","1837",false,,seeded,,high,"Neue Annalen Vol. 21/2 (1837) p. 587-640. Source: Forscherleben bibliography."
W029,WG002,P001,"Notizen über den Hafen-Pflug","Notizen Hafen-Pflug",periodical_article,de,confirmed,none,"before 1839",,"1839","1839",false,,seeded,,high,"Neue Annalen Vol. 23/2 (1839) p. 687-698. Source: Forscherleben bibliography."
W030,WG002,P001,"Reflexionen, veranlasst durch die Prüfung landwirthschaftlicher Maschinen und Instrumente","Reflexionen Pruefung Maschinen",periodical_article,de,confirmed,none,"before 1840",,"1840","1840",false,,seeded,,high,"Neue Annalen Vol. 24/1 (1840) p. 265-287. Source: Forscherleben bibliography."
W031,WG002,P001,"Vertiefung der Ackerkrume","Vertiefung der Ackerkrume",periodical_article,de,confirmed,none,"before 1841",,"1841","1841",false,,seeded,,high,"Neue Annalen Vol. 25/1 (1841) p. 202-212 + Vol. 25/2 p. 588-592 + Vol. 26/2 p. 665-668. Multi-part. Source: Forscherleben bibliography."
W032,WG002,P001,"Bericht über die Wirkung der Vertiefung der Ackerkrume","Bericht Wirkung Vertiefung Ackerkrume",periodical_article,de,confirmed,none,"before 1844",,"1844","1844",false,,seeded,,high,"Neue Annalen Vol. 28/1 (1844) p. 113-145. Source: Forscherleben bibliography."
W033,WG002,P001,"Ueber die Fütterung der Pferde mit gedämpften Kartoffeln","Fuetterung Pferde Kartoffeln",periodical_article,de,confirmed,none,"before 1844",,"1844","1844",false,,seeded,,high,"Neue Annalen Vol. 28/1 (1844) p. 160-161. Source: Forscherleben bibliography."
W034,,P001,"Fragmentarische Bemerkungen über die Steuerreform","Fragmentarische Bemerkungen Steuerreform",newspaper_article,de,confirmed,none,"before 1841",,"~1841","1841",false,,seeded,,medium,"Published in Schweriner Anzeblatt Nr. 1453, 1455, 1456. Source: Forscherleben bibliography."
W035,,P001,"Ueber das Befahren der Moorwiesen mit Erde","Befahren Moorwiesen mit Erde",conference_paper,de,confirmed,none,"1841",,"1841","1841",false,,seeded,,medium,"Amtlicher Bericht Versammlung deutscher Land- und Forstwirthe zu Doberan Sept 1841, p. 66-71. Source: Forscherleben bibliography."
W036,,P001,"Kornertrag eines seit 20 Jahren nicht gedüngten Ackerstücks in Tellow","Kornertrag ungeduengtes Ackerstueck Tellow",conference_paper,de,confirmed,none,"1841",,"1841","1841",false,,seeded,,medium,"Amtlicher Bericht Doberan 1841, p. 213-216. Source: Forscherleben bibliography."
W037,,P001,"Versuch zur Ausmittelung des relativen Futterwerths","Versuch relativer Futterwerth",periodical_article,de,confirmed,none,"before 1846",,"1846","1846",false,,seeded,,high,"Landwirthschaftl. Annalen des mecklenb. patriot. Vereins Vol. I/4 (1846) p. 55-57. Source: Forscherleben bibliography."
